Title,,,,,,,,,,,,,,,
Revision,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,
Generated,Sun 10 Jun 2018 07:34:57 PM CDT,,,,,,,,,,,,,,
Company,,,,,,,,,,,,,,,
Comment 1,,,,,,,,,,,,,,,
Comment 2,,,,,,,,,,,,,,,
Comment 3,,,,,,,,,,,,,,,
Comment 4,,,,,,,,,,,,,,,
Total Parts,44,,,,,,,,,,,,,,
Total Unique Parts,29,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ref,Qty,Value,Footprint,Datasheet,Field4,Field5,Field6,Field7,Field8,,,,,,
AE1 ,1,Antenna,Antennas:Texas_SWRA117D_2.4GHz_Right,, , , , , ,,,,,,
C1 C2 C3 C5 C6 C21 ,6,0.1uF,Capacitors_SMD:C_0603,, , , , , ,,,,,,
C4 C7 C9 C12 ,4,1uF,Capacitors_SMD:C_0603,, , , , , ,,,,,,
C8 C13 ,2,1nF,Capacitors_SMD:C_0603,, , , , , ,,,,,,
C10 C11 ,2,47pF,Capacitors_SMD:C_0603,, , , , , ,,,,,,
C14 ,1,12pF,Capacitors_SMD:C_0603,, , , , , ,,,,,,
C15 C16 ,2,2.2pF,Capacitors_SMD:C_0603,, , , , , ,,,,,,
C17 ,1,0.2pF,Capacitors_SMD:C_0603,, , , , , ,,,,,,
C18 C19 ,2,18pF,Capacitors_SMD:C_0603,, , , , , ,,,,,,
C20 ,1,10nF,Capacitors_SMD:C_0603,, , , , , ,,,,,,
D1 ,1,APA102,gsg-modules:APA102-2020,, , , , , ,,,,,,
J1 ,1,A-1JB,A-1JB:AMPHENOL_A-1JB,Amphenol RF,0.50 USD,A-1JB,Good,None,Connector, RF, AMC, PCB Jack, Surface Mnt, 50 Ohm, Solder
J2 ,1,H1,Pin_Headers:Pin_Header_Straight_1x18_Pitch2.54mm,, , , , , ,,,,,,
J3 ,1,H2,Pin_Headers:Pin_Header_Straight_1x18_Pitch2.54mm,, , , , , ,,,,,,
L1 L2 ,2,4.7nH,Inductors_SMD:L_0603,, , , , , ,,,,,,
L3 ,1,1nH,Inductors_SMD:L_0603,, , , , , ,,,,,,
L4 ,1,2nH o 1.8nH,Inductors_SMD:L_0603,, , , , , ,,,,,,
R1 ,1,2.2,Resistors_SMD:R_0603,, , , , , ,,,,,,
R2 ,1,56K,Resistors_SMD:R_0603,, , , , , ,,,,,,
R6 ,1,3.9K,Resistors_SMD:R_0603,, , , , , ,,,,,,
R7 R8 R9 ,3,10K,Resistors_SMD:R_0603,, , , , , ,,,,,,
SW1 ,1,RESET,cc2538node:TACTILE_SWITCH_SMD,, , , , , ,,,,,,
SW2 ,1,FLASH,cc2538node:TACTILE_SWITCH_SMD,, , , , , ,,,,,,
U1 ,1,CC2538,cc2538node:QFN56,, , , , , ,,,,,,
U2 ,1,cc2592,QFN65P400X400X100-17N:QFN65P400X400X100-17N,, , , , , ,,,,,,
U3 ,1,LP5907QMFX,TO_SOT_Packages_SMD:SOT-23-5,http://ww1.microchip.com/downloads/en/devicedoc/mic5219.pdf, , , , , ,,,,,,
U4 ,1,FT232RQ-REEL,FT232RQ-REEL:QFN50P500X500X100-33N,Unavailable,None,FT232RQ,USB-to-UART 1-CH 256Byte FIFO 5V 32-Pin QFN EP,FTDI,3.77 USD,,,,,,
USB1 ,1,USBSMD,cc2538node:USB-MICROB,, , , , , ,,,,,,
Y1 ,1,32Mhz,Crystals:Crystal_SMD_5032-4pin_5.0x3.2mm,, , , , , ,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git),,,,,,,,,,,,,,,
Generated Sun 10 Jun 2018 07:34:57 PM CDT,,,,,,,,,,,,,,,
